Review ID,Username,Rating,Review Text,Date
86d232b3-aee4-48bd-9a08-07ee04c6dae2,Pengguna Google,5,kok yg ngulas2 terbaru ga masuk2 d maps saya ....truuss ini penelusuran saya kok ga nambah2 malah berkurang mohon d bantu min,2025-11-06 05.37.22
8adc363b-0594-426e-b79f-7a1011596c6a,Pengguna Google,1,google maps mabok gak jelas,2025-11-06 05.34.42
a74a33a9-0d6a-40be-9087-92d17fa20f27,Pengguna Google,4,"SINYAL JPS HILANG.. TOLONG PERBAIKI MIN, PADAHAL INI PERLU BGT UNTUK DRIVER. Akurasi rendah",2025-11-06 05.20.56
1c14b002-7b7e-457c-bf03-cfef8877abee,Pengguna Google,5,terbaik,2025-11-06 04.35.55
00a96e51-1bca-45b3-be26-7dfd11ae549c,Pengguna Google,1,"kalo nunjukin jalan yang bener dong, masa setiap pakek aplikasi ini selalu di arahin ke jalan yang lebih jauh, dan yang lebih macet, jadi bikin lama ke tujuan. harusnya cuma bisa di tempuh 1 jam, ini malah jadi 2 jam lebih. dah... parah nih maps nya.??????.",2025-11-06 04.07.12
fa086e33-aac9-4323-b1d8-82bf0e7af703,Pengguna Google,4,"dgn layanan Google maf....mantab,bermartabat yessd",2025-11-06 04.00.26
b232e455-5837-44d1-87b4-2481e62f0995,Pengguna Google,3,"segera perbaharui peta Kota Batam, karena sangat banyak peta dan jalan yang tidak sesuai lagi dan foto yang tidak relevan",2025-11-06 03.59.23
d762254e-f456-4e47-95aa-85b1030fefc4,Pengguna Google,5,desert enak banget.. tiramisunya the best,2025-11-06 02.39.15
26a6c360-5fcc-478a-a091-3f148189f287,Pengguna Google,4,"Sejauh ini saya pakai maps alhamdulilah aman"" saja. Tapi (admin) tolong direspon keluhan"" saudara"" yg mengunakan aplikasi ini agar sama"" menguntungkan. Trimakasih °",2025-11-06 02.32.49
9c7337e4-07be-4781-913e-8827956b1894,Pengguna Google,3,gambar jalan tidak sesuai jalur yang kita lalui ( miring) tifak menyesesuaikan lingkungan .,2025-11-06 02.25.49
1468026c-a6e7-4e07-8bd1-e7e71fb874e6,Pengguna Google,5,GPS AKURAT,2025-11-06 02.17.54
a309db27-ac6c-4225-bffa-61775808e71d,Pengguna Google,1,kasih opsi pilihan mobil truck sama mobil barang biar mobil gede gk lewat jln kecil kadang nyangkut portal,2025-11-06 02.10.16
8fb7647a-f041-44b2-9b18-385166b1b14f,Pengguna Google,5,GPS gak bisa di apadate,2025-11-06 02.06.27
766551dc-2f90-4d32-b272-6937061cc63d,Pengguna Google,1,padahal map ud bagus pas abis di update malah ancur nih map sering error sering lambat laju tanda panahnya sering keder sering tiba2 keluar jalur lari larian GPS nya,2025-11-06 02.05.56
24e51ec6-b7f3-4058-b69e-5cea279cccaf,Pengguna Google,4,Masih butuh perbaikan secara bertahap,2025-11-06 01.11.25
899f7afa-c338-44c2-8cbc-ee007d80ae37,Pengguna Google,5,google maps ok,2025-11-06 00.46.39
c75b8c43-a5f2-4f22-b54b-6b42bbffad3e,Pengguna Google,5,tidak cukup,2025-11-06 00.07.10
54c71567-1113-4fae-b3e8-788e468328a1,Pengguna Google,5,Aplikasi yang sangat membatu saya dalam mencari alamat.,2025-11-05 23.47.19
06a2c2ab-2978-4c6e-811c-1d4f8602ffe0,Pengguna Google,5,bagusssss,2025-11-05 23.25.16
53abbf4b-3763-40f0-b6f6-970d9e2ba5a5,Pengguna Google,4,sangat membantu mununjukan arah dan lokasi yg akurat,2025-11-05 23.24.16
587b7adc-9990-4313-8a10-2f809886e677,Pengguna Google,4,"aku mohon buatkan fitur yang bisa melihat history pencarian yang pernah kita cari, karena ini cukup penting jika kita tidak ingat suatu lokasi yang pernah kita kunjungi sebelumnya",2025-11-05 23.10.32
b6ada2cc-3cce-437c-b550-29a512b83041,Pengguna Google,1,suka loncat loncat gajelas nih maps sialan!! gua sebagai ojol jd sulit buat dpt orderan kalo maps ngaco gini,2025-11-05 23.01.48
e4647a63-9f05-4a06-a530-7c5edc1ee4ec,Pengguna Google,5,Bagus sekali,2025-11-05 20.50.33
9aa19ee4-74db-4380-8de7-5a4acae003fd,Pengguna Google,5,ditingkatkan lagi biar makin canggih,2025-11-05 19.31.47
0afa9b4f-7442-4d0c-8303-87e5114c6f91,Pengguna Google,5,bagus untuk mencari alamat,2025-11-05 18.29.20
3260d3d0-ad3f-4050-97ec-2042d2b5ef62,Pengguna Google,5,sangat bagus,2025-11-05 17.50.38
959feb77-3eb7-4b63-8315-0ba63d47c7ba,Pengguna Google,5,"saya sangat suka dari aplikasi ini karna, meringankan pekerjaan dan perjalanan saya kapan pun dan kemana pun.",2025-11-05 15.15.14
597e7e50-8118-492f-8caa-7a3db951f525,Pengguna Google,5,google maps its ok,2025-11-05 14.38.01
34ba1d9e-180a-4bb1-be25-805c697ea1ba,Pengguna Google,5,mantap,2025-11-05 14.30.19
0ccd2ca9-29e7-4971-a407-324751bff7e8,Pengguna Google,5,ok,2025-11-05 14.20.04
4a0a166f-8e48-466a-b7bb-6cfb6b1f619c,Pengguna Google,1,kenapa Google maps saya tidak ada tulisan mulainya?,2025-11-05 13.30.40
0640c5bf-2d22-4393-b709-98de6047687e,Pengguna Google,1,update dlm 1 bulan bs 6x g da perbaikan malah makin ngaco. aneeehhh,2025-11-05 12.44.17
214e2f76-1268-4264-b924-29e61a437567,Pengguna Google,1,aku gk bisa masuk padahal jaringanku bagus,2025-11-05 12.42.28
